Entrez_ID	Ensemble_ID_human	Gene_symbol_human	HGNC Gene Symbol	Uniprot Accession
84886	ENSG00000119280	C1orf198	C1orf198	Q9H425
91894	ENSG00000149300	C11orf52	C11orf52	Q96A22
79169	ENSG00000143793	C1orf35	C1orf35	Q9BU76
57614	ENSG00000134444	KIAA1468	KIAA1468	Q9P260
79002	ENSG00000123144	C19orf43	TRIR	Q9BQ61
441150	ENSG00000221821	C6orf226	C6orf226	Q5I0X4
352999	ENSG00000184530	C6orf58	C6orf58	Q6P5S2
80007	ENSG00000119965	C10orf88	C10orf88	Q9H8K7
221545	ENSG00000204564	C6orf136	C6orf136	Q5SQH8
148423	ENSG00000162642	C1orf52	C1orf52	Q8N6N3
130813	ENSG00000150873	C2orf50	C2orf50	Q96LR7
125988	ENSG00000174917	C19orf70	C19orf70	Q5XKP0
79697	ENSG00000170468	C14orf169	RIOX1	Q9H6W3
65250	ENSG00000197603	C5orf42	C5orf42	Q9H799
79794	ENSG00000111412	C12orf49	C12orf49	Q9H741
285382	ENSG00000187068	C3orf70	C3orf70	A6NLC5
90231	ENSG00000116685	KIAA2013	KIAA2013	Q8IYS2
57132	ENSG00000255112	CHMP1B	CHMP1B	Q7LBR1
157657	ENSG00000156172	C8orf37	C8orf37	Q96NL8
9703	ENSG00000007202	KIAA0100	KIAA0100	Q14667
387695	ENSG00000188373	C10orf99	C10orf99	Q6UWK7
54969	ENSG00000056050	C4orf27	HPF1	Q9NWY4
9786	ENSG00000100578	KIAA0586	KIAA0586	Q9BVV6
51637	ENSG00000087302	C14orf166	RTRAF	Q9Y224
83608	ENSG00000141428	C18orf21	C18orf21	Q32NC0
65998	ENSG00000188070	C11orf95	C11orf95	C9JLR9
280636	ENSG00000211450	C11orf31	SELENOH	Q8IZQ5
128061	ENSG00000143633	C1orf131	C1orf131	Q8NDD1
91574	ENSG00000130921	C12orf65	C12orf65	Q9H3J6
22889	ENSG00000132680	KIAA0907	KHDC4	Q7Z7F0
9768	ENSG00000166803	KIAA0101	PCLAF	Q15004
55049	ENSG00000006015	C19orf60	REX1BD	Q96EN9
257407	ENSG00000204128	C2orf72	C2orf72	A6NCS6
55196	ENSG00000174718	KIAA1551	KIAA1551	Q9HCM1
89927	ENSG00000166780	C16orf45	C16orf45	Q96MC5
85379	ENSG00000197077	KIAA1671	KIAA1671	Q9BY89
51149	ENSG00000161010	C5orf45	MRNIP	Q6NTE8
29919	ENSG00000141452	C18orf8	WDR98	Q96DM3
130355	ENSG00000186132	C2orf76	C2orf76	Q3KRA6
254778	ENSG00000169085	C8orf46	C8orf46	Q8TAG6
123207	ENSG00000169609	C15orf40	C15orf40	Q8WUR7
203228	ENSG00000147894	C9orf72	C9orf72	Q96LT7
78996	ENSG00000122783	C7orf49	C7orf49	Q9BWK5
389084	ENSG00000182600	C2orf82	SNORC	Q6UX34
84310	ENSG00000146540	C7orf50	C7orf50	Q9BRJ6
118461	ENSG00000177354	C10orf71	C10orf71	Q711Q0
145407	ENSG00000139971	C14orf37	C14orf37	Q86TY3
57415	ENSG00000114405	C3orf14	C3orf14	Q9HBI5
55064	ENSG00000106686	SPATA6L	SPATA6L	Q8N4H0
375444	ENSG00000172244	C5orf34	C5orf34	Q96MH7
399949	ENSG00000183644	C11orf88	C11orf88	Q6PI97
57179	ENSG00000122203	KIAA1191	KIAA1191	Q96A73
256815	ENSG00000179133	C10orf67	C10orf67	Q8IYJ2
